Fecha	Salud	"Salud, variaci�n mensual"	"Salud, variaci�n interanual"	"Salud, variaci�n acumulada"
1/1/2024	121.56	0.35	4.59	0.35
1/3/2025	129.39	0.37	4.78	1.44
1/3/2022	111.37	0.49	4.78	1.39
1/2/2022	110.82	0.44	4.81	0.89
1/12/2023	121.14	0.2	4.84	4.84
1/12/2021	109.85	0.23	4.85	4.85
1/1/2022	110.33	0.45	4.85	0.45
1/9/2023	120.01	0.3	4.87	3.86
1/9/2025	132.67	0.24	4.88	4.01
1/10/2023	120.4	0.33	4.88	4.2
1/2/2024	122.57	0.83	4.89	1.18
1/11/2021	109.59	0.23	4.93	4.6
1/6/2026	137.93	0.23	4.94	2.89
1/7/2022	113.5	0.38	4.94	3.33
1/6/2023	118.68	0.32	4.95	2.71
1/7/2026	138.46	0.38	4.95	3.28
1/6/2025	131.44	0.33	4.96	3.04
1/7/2023	119.13	0.38	4.96	3.1
1/8/2025	132.35	0.32	4.98	3.76
1/8/2026	138.94	0.34	4.98	3.64
1/6/2022	113.07	0.39	4.98	2.94
1/8/2022	113.97	0.41	4.98	3.75
1/11/2023	120.89	0.41	4.98	4.63
1/4/2025	130.3	0.7	4.98	2.15
1/8/2023	119.66	0.44	4.99	3.56
1/10/2022	114.8	0.32	5	4.51
1/5/2022	112.64	0.51	5.01	2.54
1/4/2022	112.07	0.63	5.01	2.02
1/5/2023	118.29	0.27	5.02	2.37
1/10/2025	133.11	0.33	5.03	4.35
1/7/2025	131.93	0.37	5.04	3.43
1/5/2026	137.62	0.36	5.05	2.65
1/10/2021	109.34	0.41	5.05	4.36
1/5/2025	131.01	0.54	5.07	2.7
1/11/2022	115.16	0.31	5.08	4.84
1/9/2022	114.43	0.41	5.09	4.17
1/12/2025	134.06	0.31	5.1	5.1
1/3/2024	123.49	0.75	5.1	1.94
1/11/2025	133.65	0.4	5.12	4.77
1/1/2026	134.75	0.52	5.12	0.52
1/9/2021	108.89	0.3	5.15	3.93
1/11/2024	127.14	0.32	5.17	4.95
1/2/2025	128.92	0.56	5.18	1.07
1/12/2022	115.55	0.33	5.19	5.19
1/4/2024	124.12	0.51	5.2	2.46
1/4/2026	137.12	0.42	5.24	2.28
1/10/2024	126.73	0.19	5.26	4.62
1/4/2023	117.98	0.41	5.27	2.1
1/12/2024	127.56	0.33	5.3	5.3
1/1/2023	116.23	0.59	5.35	0.59
1/2/2026	135.82	0.79	5.35	1.31
1/8/2024	126.08	0.38	5.37	4.08
1/9/2024	126.49	0.33	5.4	4.42
1/5/2024	124.68	0.46	5.4	2.93
1/7/2024	125.6	0.3	5.43	3.68
1/2/2023	116.85	0.54	5.44	1.13
1/1/2025	128.2	0.5	5.46	0.5
1/8/2021	108.56	0.37	5.49	3.62
1/3/2023	117.49	0.55	5.5	1.68
1/6/2024	125.22	0.43	5.52	3.37
1/3/2026	136.54	0.54	5.53	1.85
1/7/2021	108.16	0.42	6.06	3.24
1/1/2021	105.24	0.45	6.45	0.45
1/2/2021	105.74	0.48	6.58	0.93
1/6/2021	107.71	0.41	6.69	2.81
1/5/2021	107.26	0.51	6.86	2.38
1/3/2021	106.29	0.51	6.89	1.45
1/4/2021	106.72	0.41	6.99	1.87
