Fecha,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,Alimentos y bebidas no alcohólicas,"Alimentos y bebidas no alcohólicas, variación mensual","Alimentos y bebidas no alcohólicas, variación interanual","Alimentos y bebidas no alcohólicas, variación acumulada",Salud,"Salud, variación mensual","Salud, variación interanual","Salud, variación acumulada"
1/1/2021,105.4,0.97,6.23,0.97,107.91,1.06,8.87,1.06,105.24,0.45,6.45,0.45
1/2/2021,106.12,0.68,7.09,1.66,108.04,0.13,8.96,1.19,105.74,0.48,6.58,0.93
1/3/2021,106.76,0.6,8.3,2.27,107.97,-0.07,9.05,1.12,106.29,0.51,6.89,1.45
1/4/2021,107.21,0.41,9.65,2.69,108.57,0.56,10.25,1.69,106.72,0.41,6.99,1.87
1/5/2021,107.9,0.65,10.48,3.36,109.39,0.76,13.14,2.45,107.26,0.51,6.86,2.38
1/6/2021,108.59,0.63,9.32,4.01,110.59,1.09,12.1,3.58,107.71,0.41,6.69,2.81
1/7/2021,109.17,0.54,7.88,4.57,111.6,0.91,9.84,4.52,108.16,0.42,6.06,3.24
1/8/2021,110.04,0.8,7.9,5.41,113.24,1.47,10.67,6.06,108.56,0.37,5.49,3.62
1/9/2021,110.54,0.45,7.74,5.88,113.88,0.57,10.12,6.66,108.89,0.3,5.15,3.93
1/10/2021,111.24,0.64,7.72,6.56,114.52,0.56,8.54,7.25,109.34,0.41,5.05,4.36
1/11/2021,112.45,1.08,8.23,7.71,115.68,1.01,8.06,8.34,109.59,0.23,4.93,4.6
1/12/2021,113.26,0.73,8.5,8.5,116.61,0.81,9.22,9.22,109.85,0.23,4.85,4.85
1/1/2022,114.6,1.18,8.73,1.18,117.98,1.17,9.34,1.17,110.33,0.45,4.85,0.45
1/2/2022,115.66,0.92,8.98,2.11,119.12,0.96,10.25,2.15,110.82,0.44,4.81,0.89
1/3/2022,116.43,0.67,9.05,2.8,120.52,1.18,11.62,3.35,111.37,0.49,4.78,1.39
1/4/2022,117.54,0.96,9.64,3.78,122.3,1.48,12.64,4.88,112.07,0.63,5.01,2.02
1/5/2022,118.12,0.49,9.47,4.29,123.47,0.96,12.87,5.88,112.64,0.51,5.01,2.54
1/6/2022,118.88,0.64,9.48,4.96,124.92,1.18,12.96,7.13,113.07,0.39,4.98,2.94
1/7/2022,119.47,0.5,9.43,5.48,125.37,0.36,12.34,7.51,113.5,0.38,4.94,3.33
1/8/2022,119.72,0.21,8.8,5.7,125.03,-0.28,10.41,7.21,113.97,0.41,4.98,3.75
1/9/2022,120.07,0.29,8.63,6.01,125.48,0.37,10.19,7.61,114.43,0.41,5.09,4.17
1/10/2022,120.41,0.28,8.24,6.31,125.84,0.29,9.89,7.92,114.8,0.32,5,4.51
1/11/2022,120.97,0.47,7.58,6.8,127.01,0.92,9.8,8.91,115.16,0.31,5.08,4.84
1/12/2022,122.13,0.96,7.83,7.83,129.67,2.09,11.19,11.19,115.55,0.33,5.19,5.19
