,,,2020,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,
,,Grupo,Subgrupo,Clase,Subclase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artículo,Ponderación,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre ,Enero,Febrero ,Marzo,Abril ,Mayo,Junio,Julio,Agosto
1,01 Alimentos y Bebidas No Alcohólicas,23.8351,105.51,107.04,106.77,107.91,108.04,107.97,108.57,109.39,110.59,111.6,113.24,113.88,114.52,115.68,116.61,117.98,119.12,120.52,122.3,123.47,124.92,125.37,125.03,125.48,125.84,127.01,129.67,131.38,130.8,131.14,131.74,130.91,131.82,133.24,134.93,136.37,136.52,136.34,137.58,138.69,138.13,138.25,137.25,136.34,137.36,139.31,139.88,140.33,139.86,139.7,141.84,143.01,143.38,143.5,143.26,143.04,143.01,143.68,145.45,146.5,148.16,151.06,153.46,154.5,153.64,153.41,153.31,152.42,153.04,153.38,154.03
11,011 Alimentos,21.0438,105.9,107.59,107.24,108.46,108.54,108.36,108.92,109.78,111.09,112.18,113.82,114.41,115.08,116.15,116.96,118.41,119.6,121.1,122.96,124.2,125.76,126.19,125.69,126.14,126.51,127.77,130.73,132.6,131.83,132.17,132.79,131.79,132.6,134.09,135.94,137.49,137.54,137.17,138.49,139.57,138.84,138.91,137.69,136.56,137.63,139.78,140.36,140.82,140.25,140.04,142.31,143.24,143.46,143.53,143.08,142.71,142.65,143.37,145.3,146.41,148.21,151.19,153.6,154.62,153.55,153.25,152.7,151.43,151.94,152.23,152.79
111,0111 Pan y cereales ,3.7579,102.61,103.05,103.5,104.18,105.06,105.67,106.27,107.76,110.49,113.38,113.3,114.29,115.41,116.21,116.47,117.11,117.74,118.24,119.31,120.14,120.98,121.6,122.2,122.61,122.88,123.33,124.29,125.23,125.78,126.31,127.01,128.05,128.56,129.09,129.28,129.74,130.89,131.69,132.68,133.69,135.35,137.73,139.5,140.44,141.63,143.01,143.65,144.28,144.54,144.83,145.33,145.6,146.1,146.66,147.07,147.49,147.75,148.44,148.77,149.13,149.53,149.72,150.23,150.66,150.92,151.39,152.08,152.73,152.98,153.68,154.63
1111,01111 Pan,0.9449,100.15,100.21,100.26,100.34,100.71,100.92,100.97,101.01,108.29,117.14,115.72,118.48,121.71,123.91,124.18,124.43,124.62,124.86,125.23,125.29,125.61,125.79,126.14,126.22,126.34,127.11,129.42,130.92,131.29,131.74,131.99,132.2,132.29,132.53,132.66,132.75,132.84,132.93,133,133.11,133.21,133.14,133.21,133.39,133.55,133.88,133.95,133.93,133.99,134.27,134.54,134.66,134.82,134.96,135.08,135.5,136.01,137.56,137.97,138.54,138.84,139.11,139.95,140.27,140.59,140.85,142.03,143.42,143.85,144.03,144.39
111101,0111101 Pan sobado,0.5054,100.13,100.22,100.29,100.39,101.03,101.29,101.33,101.33,108.79,118.68,117.08,118.98,120.53,122.56,122.83,123.09,123.29,123.36,123.57,123.62,123.8,123.91,124.37,124.42,124.59,125.35,127.56,129.05,129.34,129.81,130.09,130.25,130.22,130.39,130.6,130.65,130.67,130.76,130.84,130.95,130.95,131.06,131.18,131.26,131.48,131.6,131.7,131.68,131.75,131.96,132.23,132.4,132.55,132.7,133.01,133.41,134.15,136.65,137.19,137.89,138.27,138.54,139.44,139.63,139.81,140.07,141.29,142.98,143.41,143.54,143.77
111102,0111102 Pan de agua,0.399,100.18,100.21,100.23,100.27,100.31,100.42,100.42,100.51,108.14,116.3,114.93,118.97,124.62,127.15,127.41,127.66,127.79,128.25,128.75,128.81,129.3,129.56,129.78,129.9,129.91,130.73,133.17,134.72,135.19,135.63,135.79,136.03,136.29,136.62,136.67,136.77,136.92,136.98,137.04,137.14,137.37,137.06,137.01,137.34,137.41,138,138.02,137.98,138.03,138.43,138.71,138.78,138.96,139.08,138.98,139.39,139.58,140.07,140.3,140.76,140.99,141.27,142.11,142.62,143.12,143.42,144.64,145.74,146.19,146.43,146.95
111104,0111104 Pan Integral,0.0405,100,100.09,100.15,100.33,100.72,101.17,101.85,101.93,103.39,106.17,106.51,107.37,107.87,108.82,109.29,109.35,109.93,110.17,111.17,111.45,111.82,112.09,112.21,112.41,113,113.39,115.61,116.91,117.16,117.51,118.07,118.83,118.87,119,119,119.38,119.83,120.08,120.16,120.35,120.41,120.54,120.98,121.12,121.26,121.72,121.96,122.1,122.2,122.17,122.23,122.32,122.33,122.39,122.47,123.3,123.97,124.32,124.69,124.67,124.76,124.9,125.04,125.12,125.39,125.38,125.48,125.94,126.18,126.41,126.76
1112,01112 Galletas y productos de panadería,0.372,101.56,102.38,103.86,105.42,107.09,107.85,108.59,109.72,110.71,111.91,112.46,112.68,113.24,113.63,114.01,114.41,115.14,115.47,117.03,118.69,120.35,121.9,124.1,124.97,125.92,126.67,127.72,128.96,129.84,130.54,131.38,132.03,132.47,132.92,133.11,133.02,133.33,133.42,133.91,134.02,134.25,134.35,134.79,135.03,135.26,135.59,135.8,136.22,136.59,136.75,137.23,137.52,138.1,138.15,138.94,139.36,139.48,139.77,139.96,140.11,140.82,140.85,141.11,141.88,143,143.88,144.39,144.84,145.39,145.83,145.86
